# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
يارس,"4,704",3.25,14.71%,20.19%,00:06:26,6.15
سانتافي,"4,703",4.64,18.75%,13.80%,00:08:58,6.86
جنطات,"4,681",4.94,19.74%,14.73%,00:05:35,5.29
نيسان ميكرا,"4,663",6.17,17.61%,10.71%,00:09:47,8.24
audi,"4,660",5.04,16.89%,13.84%,00:06:27,5.31
شريك,"4,642",5.69,19.56%,9.82%,00:10:19,9.73
ايباد,"4,618",4.66,22.17%,11.52%,00:08:00,6.25
toyota,"4,594",7.54,24.03%,8.80%,00:08:29,5.70
البنيات,"4,588",7.88,28.97%,5.97%,00:10:24,13.13
استراحة,"4,583",8.85,26.93%,4.63%,00:15:35,11.31
لاند كروزر,"4,569",3.34,15.36%,21.62%,00:04:37,4.13
رنج,"4,554",4.74,16.07%,15.59%,00:06:26,5.28
جيب شروكي,"4,544",6.05,19.01%,11.21%,00:08:08,6.56
الرمثا,"4,540",4.63,33.55%,7.04%,00:07:40,6.12
سبارك,"4,539",4.08,12.60%,18.98%,00:06:15,5.54
مكتب,"4,534",7.12,24.97%,7.03%,00:10:08,8.69
ابو نصير,"4,531",7.59,24.76%,6.71%,00:10:34,9.12
crv,"4,521",4.55,14.78%,15.27%,00:07:00,6.66
دراجات,"4,507",9.55,26.82%,5.58%,00:09:21,8.27
كاديت,"4,483",4.85,13.81%,15.21%,00:07:57,7.81
ميكرا,"4,480",4.72,14.40%,14.52%,00:08:15,7.37
كابرس,"4,478",4.00,12.97%,20.30%,00:05:08,5.31
307,"4,477",4.20,15.61%,15.50%,00:07:19,6.29
فورد فيوجن,"4,459",5.00,19.02%,11.01%,00:07:52,6.23
دودج رام,"4,455",5.23,19.62%,12.04%,00:07:23,5.80
fj,"4,436",4.11,18.19%,13.88%,00:08:51,6.68
تويوتا كرولا,"4,418",5.42,17.22%,13.86%,00:06:46,5.90
دايو نوبيرا,"4,372",5.62,18.96%,11.48%,00:08:52,7.66
بيجو 406,"4,366",4.33,13.22%,15.50%,00:08:33,6.96
بي ام 520,"4,341",6.83,18.27%,9.99%,00:08:21,7.04
نوت 3,"4,321",4.35,20.97%,11.94%,00:08:00,6.97
