# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
ابن النفيس,568,4.14,23.24%,12.89%,00:06:58,5.15
سواق,568,3.02,14.08%,22.71%,00:06:55,7.22
بداعي,567,5.66,19.93%,12.49%,00:09:37,7.43
مرسيدس 2012,567,3.77,11.46%,20.34%,00:04:50,4.25
مرسيدسc200,567,2.82,10.93%,30.18%,00:04:26,4.16
بومة,566,2.36,12.90%,34.51%,00:05:09,3.73
شقة اقساط,566,7.60,22.97%,6.42%,00:11:29,8.99
Camaro,565,2.72,13.27%,26.66%,00:04:51,4.15
بيجو فان,565,3.45,15.04%,21.59%,00:05:33,4.46
تويوتا افالون,565,3.20,11.68%,23.94%,00:06:37,5.81
كالوبر,565,4.09,13.98%,17.57%,00:06:47,6.37
ps vita,564,2.95,15.07%,18.65%,00:05:43,5.16
قطه,564,4.42,16.13%,14.45%,00:07:52,6.28
bmw 320i,563,4.11,12.61%,17.90%,00:06:48,6.01
افانتي 98,563,6.24,18.47%,10.65%,00:07:44,6.88
بيجو 206 كشف,563,3.56,14.03%,19.20%,00:06:06,6.05
لانسر 1999,563,5.01,14.21%,13.78%,00:06:31,6.02
هاي لوكس,563,2.20,6.39%,38.83%,00:04:15,3.71
اللبن,562,3.81,11.74%,17.20%,00:07:02,6.46
باب,562,3.90,14.95%,19.13%,00:07:31,6.11
سبكترا 2003,562,4.25,14.06%,15.57%,00:07:23,7.19
عبايات,562,5.45,15.12%,8.29%,00:09:25,10.13
جولف 95,561,4.78,12.30%,15.75%,00:06:56,6.24
دوج جارجر,561,4.15,19.61%,13.87%,00:07:00,6.66
سيفك هايبرد,561,6.04,16.93%,11.21%,00:09:09,6.97
nokia x,560,2.63,18.93%,20.33%,00:05:06,5.24
تويوتا مفخرة,560,4.08,15.18%,17.02%,00:08:23,7.43
ديسكفري,560,2.10,10.36%,38.10%,00:03:50,3.08
سوريه,560,5.66,18.04%,12.50%,00:05:24,4.96
Sony Xperia,558,2.74,11.83%,28.81%,00:05:15,5.65
مطعم للبيع,558,6.85,20.61%,8.29%,00:08:41,6.76
افانتي اكس دي,557,5.22,16.70%,12.56%,00:08:36,7.32
باص متسوبيشي,557,4.86,16.34%,15.55%,00:07:43,5.26
تويوتا بريوس 2005,557,4.51,15.26%,14.86%,00:07:52,6.89
جي تي,557,3.63,9.34%,21.62%,00:05:52,5.70
صناعي,557,7.66,24.96%,5.81%,00:11:59,9.00
فورد فكتوريا,557,4.22,15.80%,16.89%,00:05:36,6.46
كرونا,557,2.50,8.26%,35.23%,00:03:37,3.78
كيا بونجو,557,2.15,11.85%,38.74%,00:05:04,3.58
للتنازل,557,6.15,33.57%,4.88%,00:08:24,8.34
طاولات,556,5.94,19.96%,10.80%,00:08:35,7.16
مولدات كهربائية,556,7.99,30.04%,4.07%,00:14:10,10.02
ميتسوبيشي لانسر 99,556,4.93,12.05%,15.66%,00:07:16,6.64
C300,555,2.98,13.51%,23.63%,00:04:53,4.39
challenger,555,1.88,9.37%,40.84%,00:02:35,2.56
امريكا,555,4.63,16.76%,13.21%,00:06:35,6.12
بيجو ٢٠٦,555,3.37,16.94%,21.68%,00:04:52,4.78
فرصه,555,5.50,18.56%,13.03%,00:12:04,7.24
موظف,555,5.23,20.54%,10.92%,00:08:36,7.68
Bmw 318,554,4.58,22.74%,14.19%,00:06:22,4.72
I phone,554,4.82,24.73%,11.19%,00:06:35,6.15
s,554,2.74,8.66%,30.13%,00:03:55,3.59
امن وحمايه,554,4.84,13.00%,11.15%,00:07:17,9.15
تويوتا لبوه,554,6.72,16.43%,9.96%,00:09:43,8.11
زد,554,2.47,15.70%,29.75%,00:03:42,3.75
متسوبيشي لانسر 2005,554,5.42,12.64%,14.19%,00:07:25,6.98
مشرف,554,4.27,19.13%,14.55%,00:05:30,5.77
هوندا سيفك 2004,554,5.30,16.79%,12.39%,00:08:10,7.23
هونداي ازيرا 2010,554,3.80,16.06%,17.07%,00:09:54,6.94
هونداي اكسنت 97,554,6.48,17.33%,9.66%,00:07:42,7.44
bmw 2003,553,5.59,15.91%,13.19%,00:07:10,5.97
BMW x5,553,5.40,19.35%,11.65%,00:07:17,5.86
حاسوب,553,4.39,17.18%,13.11%,00:07:42,7.15
سيارة للبيع,553,8.66,21.70%,6.31%,00:11:19,8.34
غسيل سيارات,553,5.10,15.37%,12.93%,00:08:46,6.95
i phone 4s,552,3.24,18.84%,18.04%,00:05:33,5.43
عمل جزئي,552,5.37,19.02%,8.68%,00:09:47,9.45
مرسيدس 2011,552,3.57,10.51%,22.06%,00:05:20,4.74
ميجان,552,2.28,11.41%,36.72%,00:04:22,3.70
هونداي جينسس,552,2.65,8.51%,28.42%,00:06:01,6.18
bmw 318i,551,4.89,13.25%,14.03%,00:07:25,6.81
galaxy s5,551,2.36,20.51%,23.38%,00:03:59,3.40
php,551,2.13,22.32%,13.97%,00:05:43,5.33
جي تي اي,551,2.65,9.62%,30.71%,00:04:51,4.15
سكونا,551,3.13,11.98%,26.22%,00:09:06,4.34
هونداى ازيرا,551,6.43,18.33%,10.01%,00:11:41,7.82
Ipad,550,3.71,29.09%,12.43%,00:05:51,5.05
santa fe,550,2.41,12.55%,33.58%,00:05:15,4.73
تويوتا بريوس 2011,550,5.55,20.55%,9.63%,00:10:36,6.93
جاز,550,1.86,10.55%,42.72%,00:03:41,3.51
ميماتي,550,2.44,8.55%,28.02%,00:07:40,7.07
هرم,550,3.40,13.09%,17.80%,00:07:54,7.01
الخلة,549,5.99,18.76%,9.85%,00:11:29,8.24
دراج,549,5.37,28.23%,9.16%,00:09:20,8.52
سنتافي 2010,549,3.90,12.02%,19.63%,00:07:45,7.79
العاب اطفال,548,4.65,16.97%,14.02%,00:06:33,6.44
فقاسه,548,5.23,15.51%,11.03%,00:07:53,7.01
نيترو,548,2.98,9.67%,24.33%,00:05:55,5.57
نيسان صني 2007,548,4.63,13.50%,15.52%,00:06:35,6.26
هوندا جاز,548,2.08,13.32%,36.52%,00:03:37,3.13
prius 2010,547,5.91,21.21%,7.64%,00:10:43,7.63
استيشن,547,2.82,13.16%,27.78%,00:04:44,4.65
تاب 3,547,3.73,18.46%,14.97%,00:06:22,6.45
توشيبا,547,3.99,17.18%,14.16%,00:08:28,7.56
جولف 91,547,5.17,16.09%,13.00%,00:08:10,7.23
ريسر,547,4.16,10.97%,17.93%,00:06:24,6.26
كفريوبا,547,7.52,22.85%,7.61%,00:09:06,10.29
BMW 525,546,4.23,15.75%,16.81%,00:06:09,5.00
الفا روميو,546,2.39,8.61%,33.82%,00:04:54,5.34
بطه 95,546,6.92,13.37%,9.98%,00:09:11,8.64
صيدلية للبيع,546,6.34,23.26%,8.76%,00:10:09,5.53
مستقل,546,8.52,20.33%,7.07%,00:10:48,9.19
هونداي النترا 94,546,4.74,12.45%,15.96%,00:08:12,6.69
bmw525,545,2.69,9.91%,33.33%,00:03:58,3.71
اليرموك,545,5.43,25.32%,9.28%,00:07:52,7.69
2001,544,4.92,10.11%,15.27%,00:07:16,8.06
اكسنت 2000,544,4.02,13.24%,19.32%,00:05:04,4.40
اوبل اقساط,544,4.46,10.11%,19.74%,00:05:36,4.99
طيور حب,544,4.26,15.62%,15.22%,00:06:34,7.08
كيا هايبرد,544,4.65,20.96%,15.21%,00:06:28,4.73
bmw 750,543,1.80,7.37%,51.53%,00:02:32,2.08
e21,543,1.77,8.29%,43.04%,00:02:49,2.75
Porsche,543,4.67,22.84%,12.33%,00:05:03,4.11
افانتي 2005,543,4.76,15.47%,13.39%,00:07:52,7.09
عفش,542,3.70,10.70%,22.83%,00:06:49,7.06
مخبوطه,542,3.52,11.62%,23.87%,00:05:18,5.32
ثريا,541,2.48,14.23%,26.40%,00:06:44,6.19
فلونة,541,3.44,9.80%,20.72%,00:08:02,6.91
galaxy note 3,540,2.97,24.63%,17.64%,00:04:16,3.43
ساعة يد,540,5.06,17.96%,11.72%,00:06:12,6.75
سيارة غير مجمركة,540,6.74,50.74%,2.23%,00:10:58,6.37
طريق النهر,540,4.82,26.85%,10.57%,00:08:05,6.19
نيسان صني 2009,540,4.63,13.52%,16.00%,00:06:39,5.35
bmw530,539,2.83,10.39%,30.53%,00:04:59,4.44
النترا 2002,539,4.51,10.76%,16.69%,00:08:03,7.72
شقق فارغة للايجار,539,13.21,37.66%,3.50%,00:12:44,12.21
كيا ريو 2008,539,3.41,11.50%,21.88%,00:06:48,5.41
لانسر 92,539,4.19,12.24%,18.05%,00:06:02,5.84
السيدة عائشة,538,5.99,34.20%,6.64%,00:11:34,8.37
زب,538,1.63,17.66%,45.73%,00:02:36,2.68
نقل الأثاث,538,4.72,33.83%,1.73%,00:14:21,17.08
هوندا سيفك 99,538,6.38,15.24%,11.80%,00:07:53,6.49
HD,537,7.09,18.06%,8.64%,00:09:55,8.77
ب,537,2.41,10.80%,38.19%,00:03:55,2.99
باص فار,537,4.33,14.34%,17.96%,00:06:06,5.79
هونداي النترا 2010,537,3.73,14.71%,20.82%,00:05:28,4.98
واي ماكس بالعقد,537,5.85,29.05%,7.38%,00:09:30,7.08
الاقصى,536,5.76,20.34%,10.74%,00:08:18,8.25
فجعة,536,4.20,13.81%,18.50%,00:07:44,5.74
فورد كونتور,536,3.36,9.89%,19.64%,00:08:08,7.16
فيسبا,536,4.53,15.11%,14.94%,00:08:21,7.74
وظيفه,536,3.18,24.25%,11.03%,00:05:40,7.99
bmw 2007,535,4.01,14.95%,20.14%,00:05:51,4.39
برادي,535,5.15,15.14%,12.55%,00:07:07,6.56
تويوتا هايلاندر,535,3.39,12.15%,21.49%,00:06:31,4.75
range,534,4.11,12.73%,18.09%,00:05:36,5.17
ازيرا 2011,534,2.38,5.99%,34.23%,00:05:12,4.89
تويوتا فجعه,534,3.50,14.98%,19.00%,00:07:53,6.26
كماليات,534,3.40,15.54%,22.71%,00:06:28,4.88
كيا سيفيا 95,534,6.45,16.10%,10.25%,00:08:35,7.32
LG,533,4.34,19.89%,14.89%,00:06:03,4.81
بيوت للبيع,533,10.14,25.89%,4.77%,00:11:26,9.45
جوال,533,2.81,21.20%,18.02%,00:04:16,5.47
شاشة تلفزيون,533,4.83,18.20%,13.14%,00:06:29,6.34
فني اسنان,533,3.37,27.02%,7.68%,00:07:02,5.96
باصات اقساط,532,8.41,19.74%,6.75%,00:11:03,9.45
بليستيشن,532,3.65,15.79%,18.38%,00:07:36,7.56
بوزنمر,532,2.57,14.10%,32.58%,00:04:04,3.68
جرار زراعى,532,4.61,19.55%,12.46%,00:11:20,8.97
سيارات مضروبه,532,9.61,24.06%,7.31%,00:11:11,7.74
شفروليه افيو,532,4.81,16.17%,14.31%,00:07:26,6.22
لانسر 2012,532,2.75,12.41%,29.05%,00:03:32,3.16
280,531,4.49,15.25%,16.65%,00:05:51,5.44
باص ركاب,531,5.56,16.76%,13.76%,00:08:55,7.14
جرافة,531,4.37,10.92%,18.93%,00:05:38,6.21
دوبلكس,531,7.51,19.96%,7.07%,00:11:16,10.05
ديكورات,531,4.43,13.75%,14.83%,00:09:50,7.08
ميكانيكي,531,4.27,19.21%,12.85%,00:09:47,6.37
باصات بريجو,530,10.30,16.98%,5.82%,00:12:05,9.60
مازدا زوم 6,530,4.51,10.38%,16.62%,00:07:47,6.38
مهندس ميكانيكا,530,3.03,40.19%,3.87%,00:07:35,4.38
imac,529,1.87,11.91%,36.67%,00:03:54,3.11
القويعة,529,6.59,22.87%,7.97%,00:10:18,8.60
باص كيا بستا,529,5.90,18.53%,11.31%,00:09:27,7.90
سانتافي 2013,529,1.97,10.02%,41.50%,00:05:07,5.42
اكسنت 2003,528,3.24,8.90%,24.61%,00:05:34,5.66
بيكانتو 2006,528,4.07,11.36%,17.50%,00:06:06,6.03
شقه ارضيه,528,11.02,27.65%,3.51%,00:14:30,12.05
غزال,528,2.19,8.90%,41.71%,00:04:00,4.09
كيا ريو 2010,528,2.95,11.36%,27.51%,00:05:37,5.67
nintendo,527,1.65,23.91%,29.11%,00:03:23,2.80
خياطة,527,4.71,21.25%,10.52%,00:07:56,7.87
داوو لاسيتي,527,4.55,14.42%,14.83%,00:10:32,9.63
موظف استقبال,527,4.33,19.92%,11.18%,00:05:51,6.15
دايو اقساط,526,5.85,12.17%,14.40%,00:07:58,7.20
كيا سيراتو 2014,526,3.39,14.07%,18.57%,00:05:41,5.77
ليلي علوي,526,4.37,15.97%,15.95%,00:08:31,6.34
هوندا 2005,526,5.52,15.21%,12.03%,00:07:49,7.48
cisco,525,1.96,21.14%,16.81%,00:05:27,4.14
pc,525,4.39,12.57%,15.23%,00:07:02,6.14
سيارات مرسيدس,525,12.54,26.67%,4.04%,00:13:40,9.29
لحيم,525,2.15,17.52%,29.38%,00:03:48,3.96
هونداي 2007,525,5.50,15.81%,13.86%,00:07:20,5.84
دفندر,524,1.69,26.72%,39.73%,00:02:00,1.69
مرسيدس 2005,524,4.91,12.98%,15.01%,00:06:25,5.55
هونداي سوناتا 2012,524,3.86,15.84%,17.59%,00:07:48,6.53
Honda civic,523,6.73,28.30%,7.33%,00:08:59,7.08
hr,523,3.04,25.62%,17.05%,00:05:04,4.13
افانتي 1997,523,6.21,18.16%,9.88%,00:06:55,6.92
بي ام حاجب,523,4.36,14.34%,16.59%,00:08:51,7.59
جمسي,523,3.67,13.77%,24.22%,00:05:44,5.50
نيسان تيتان,523,3.36,9.37%,19.80%,00:07:16,6.35
FJ,522,4.25,17.24%,12.62%,00:08:17,7.62
عملة,522,3.75,16.48%,19.33%,00:07:15,5.58
فيرسا,522,3.98,16.67%,16.03%,00:06:12,7.22
مرسيدس c 200,522,4.75,18.20%,13.54%,00:06:23,5.31
معلمة,522,5.27,21.65%,11.23%,00:07:10,7.51
C230,521,1.90,32.05%,25.91%,00:02:18,2.40
النترا 2004,521,3.80,11.52%,19.03%,00:06:34,5.82
c200 2008,520,2.75,8.08%,26.97%,00:05:17,4.52
GOLF,520,7.45,24.42%,6.97%,00:11:43,8.95
كوافيرة,520,5.33,19.42%,9.27%,00:08:04,8.88
دبل,519,3.82,13.10%,23.37%,00:05:40,4.15
دولار,519,3.88,18.50%,16.39%,00:07:31,5.55
ميجا,519,3.97,18.30%,16.86%,00:06:49,5.87
زجاج,518,2.20,12.93%,34.27%,00:03:10,2.66
سواقين,518,4.03,16.22%,14.26%,00:06:44,8.09
صفار,518,6.42,16.99%,9.63%,00:11:27,8.78
مرسيدس 320,518,3.87,13.51%,20.01%,00:07:23,6.21
3gs,517,3.23,11.99%,16.91%,00:08:46,10.09
الظهرة,516,4.94,20.16%,11.84%,00:10:48,8.16
جيب هايبرد,516,4.66,17.64%,15.97%,00:06:48,5.47
مرسيدس 2007,516,4.34,13.95%,17.59%,00:05:42,4.28
مسجل سياره,516,4.01,17.05%,15.89%,00:06:02,6.17
مولد كهربائي,516,7.28,26.36%,5.22%,00:12:59,9.66
520i,515,4.67,11.46%,16.88%,00:05:58,5.43
ابل فكترا,515,3.29,12.62%,24.84%,00:07:03,6.92
اسمنت,515,4.07,19.81%,15.79%,00:07:07,6.26
حضانه,515,4.95,16.89%,11.61%,00:07:43,7.62
محطة غسيل,515,4.53,15.73%,14.61%,00:07:13,6.72
مني,515,2.72,10.10%,34.05%,00:04:03,3.82
نيسان فلونة,515,4.75,12.43%,15.78%,00:09:07,8.44
الدوار السابع,514,5.51,16.54%,11.93%,00:08:45,6.50
هونداي النترا 2008,514,4.55,13.04%,16.50%,00:07:15,5.12
هونداي جينيسس,514,2.67,12.45%,28.60%,00:06:56,4.53
بنادق صيد,513,1.88,8.38%,41.54%,00:04:29,4.65
هونداى سنتافى,513,6.48,19.49%,9.17%,00:11:12,8.70
هونداي عدسه,513,5.39,14.23%,13.26%,00:08:32,7.01
ونج,513,2.39,19.69%,34.04%,00:07:34,4.20
galaxy s2,512,3.56,15.82%,18.51%,00:05:08,4.94
بلاستيشن 4,512,3.18,20.90%,17.55%,00:06:23,6.12
القيو,511,4.45,20.55%,10.95%,00:12:26,8.79
اوبل كديت,511,3.61,12.52%,23.20%,00:06:10,5.57
تويوتا تيرسل,511,3.82,11.74%,19.12%,00:08:09,8.06
ميرسيدس,511,2.64,10.76%,31.06%,00:03:57,4.00
sex,510,1.38,20.00%,44.11%,00:02:40,1.97
باندا,510,2.50,11.57%,24.76%,00:03:56,3.99
تصميم داخلي,510,3.92,23.14%,11.67%,00:11:01,6.90
مرسيدس جيب,510,3.83,11.96%,22.36%,00:05:01,3.69
نيسان جيب,510,4.41,13.73%,18.91%,00:06:04,5.17
tab 3,509,2.95,17.29%,20.36%,00:06:14,5.19
اودي A4,509,4.59,14.93%,15.94%,00:06:52,5.50
فور رنر,509,1.95,7.86%,43.22%,00:03:50,3.44
كورولا 2009,509,4.01,13.95%,17.99%,00:06:18,5.55
بيجو ٣٠٧,508,3.32,17.72%,18.73%,00:05:39,4.86
موتورولا,508,3.86,15.94%,18.00%,00:07:47,6.82
335,507,1.95,6.51%,45.30%,00:04:13,3.23
اثاث مكتب,507,7.22,22.49%,7.27%,00:09:57,8.73
تويوتا كامري 2013,507,3.29,12.43%,22.29%,00:06:28,6.12
شقق للبيع في عمان,507,10.32,47.14%,2.66%,00:10:41,7.29
bmw z3,506,3.14,10.47%,23.11%,00:05:23,4.87
g2,506,2.43,16.60%,22.18%,00:07:51,6.30
بالينو,506,2.85,12.85%,23.68%,00:07:24,6.29
جبل النزهة,506,4.13,16.40%,16.25%,00:06:30,7.86
سيلكا,506,2.25,5.73%,39.72%,00:04:49,4.87
كاديلك,506,1.89,5.34%,50.26%,00:03:56,3.02
107,505,2.96,12.48%,23.95%,00:06:04,6.50
اكسبلور,505,3.34,21.19%,19.34%,00:04:35,4.00
الرابيه,505,6.18,21.98%,9.71%,00:10:51,7.22
يوكون,505,2.21,6.93%,39.01%,00:02:49,2.89
ابتما,504,3.19,11.11%,25.89%,00:05:36,4.87
شاليهات,504,6.91,25.40%,6.26%,00:11:10,8.86
فني مختبر,504,4.26,21.83%,9.50%,00:07:05,8.61
أثاث,503,8.03,28.83%,4.41%,00:08:05,8.13
حي السلام,503,6.19,18.49%,9.80%,00:12:08,8.98
فني ميكانيك,503,3.32,15.90%,19.05%,00:05:08,4.93
كورﻻ,503,3.86,12.13%,19.21%,00:04:17,5.87
كيا 95,503,5.82,20.48%,11.37%,00:09:39,8.91
نقل الاثاث,503,5.62,20.48%,2.02%,00:15:12,19.58
Crv,502,4.48,23.31%,13.38%,00:06:54,5.36
الحاجب,502,4.65,15.14%,12.90%,00:08:56,7.15
الخمس,502,6.45,27.29%,8.03%,00:08:48,7.26
بدون دفعه,502,6.32,18.13%,10.87%,00:08:27,6.64
تيوتا اف جي,502,2.70,14.94%,25.50%,00:05:41,5.65
شاشة lcd,502,4.60,16.33%,15.21%,00:05:48,5.56
فري لاندر,502,2.99,13.15%,23.60%,00:06:03,4.69
غرف اطفال,501,5.03,20.56%,9.40%,00:08:40,9.34
فورد 150,501,4.24,15.37%,16.95%,00:07:43,6.28
مرسيدس C200,501,6.45,16.97%,9.53%,00:09:04,7.22
نيسان صني 2002,501,3.14,10.78%,26.81%,00:05:04,4.09
honda accord,500,5.35,17.60%,11.58%,00:07:20,6.00
isuzu,500,3.96,18.20%,16.77%,00:06:21,5.94
ps3 games,500,4.68,15.00%,12.40%,00:06:48,7.25
امن وحماية,500,4.75,13.80%,10.53%,00:09:05,8.70
تويوتا كورولا 2008,500,4.57,14.00%,16.27%,00:06:20,5.54
درجات نارية,500,3.61,17.00%,19.22%,00:06:36,6.90
سراج,500,8.70,24.20%,6.21%,00:15:01,10.66
شفرليت كمارو,500,2.45,6.80%,34.42%,00:04:14,4.65
عيادة,500,6.23,22.80%,9.40%,00:09:02,8.11
كيا سوبرتاج,500,2.85,12.80%,27.07%,00:05:35,5.16
موتو بحر,500,4.06,16.80%,15.06%,00:07:58,7.35
تلفزيونات,499,5.03,19.44%,11.48%,00:06:11,5.23
شاشة كمبيوتر,499,6.24,20.64%,8.29%,00:13:52,7.46
CRV,498,4.61,15.06%,15.16%,00:06:39,7.13
ابقار,498,4.29,14.46%,17.05%,00:07:19,6.84
النعم,498,4.62,20.48%,9.30%,00:09:54,7.69
تبوك,498,6.77,26.10%,3.50%,00:07:33,8.43
تدليك,498,2.96,13.05%,25.08%,00:05:29,4.70
سيارات مستعمله,498,3.76,20.68%,11.76%,00:06:21,7.23
شاحنات افيكو,498,8.08,30.32%,7.28%,00:13:46,8.96
شفر ليت,498,2.12,10.24%,43.83%,00:03:52,3.64
فاتورة,498,5.61,19.68%,7.84%,00:09:57,13.66
قرميد,498,5.37,15.26%,10.62%,00:07:57,8.92
متسوبيشي ﻻنسر,498,5.51,16.06%,11.98%,00:06:49,7.01
مولدات كهرباء,498,8.10,28.31%,5.11%,00:13:24,9.49
Ci,497,3.95,14.29%,16.67%,00:05:17,5.17
بكب هايلوكس,497,2.85,9.86%,30.13%,00:04:43,3.45
خادمه,497,4.64,12.88%,16.23%,00:06:44,7.15
مظلات,497,5.05,18.11%,10.69%,00:10:05,8.29
منظومة,497,4.03,17.91%,15.54%,00:07:33,5.83
موزة,497,4.45,14.08%,15.96%,00:07:20,6.93
هونداي افانتي 2009,497,4.51,16.90%,15.01%,00:06:56,6.80
تايوتا كامري,496,3.83,15.73%,20.48%,00:07:41,7.50
سبورتيج,496,2.77,9.68%,31.90%,00:04:28,4.81
شاحن,496,3.69,21.17%,18.63%,00:04:45,3.15
شاشات سامسونج,496,4.65,18.95%,13.31%,00:08:41,5.51
فيستو,496,3.72,11.49%,19.19%,00:07:21,7.07
lvsd]s,495,1.13,1.82%,88.21%,00:00:59,0.89
ساحبه,495,5.46,18.38%,9.99%,00:12:59,8.37
سيارات مستعملة,495,3.23,18.79%,16.26%,00:06:29,7.44
هونداي توسكان,495,3.23,8.08%,26.77%,00:05:34,5.82
c200 2001,494,4.52,15.38%,14.11%,00:07:43,7.49
defender,494,1.69,11.94%,41.73%,00:04:51,2.79
sony vaio,494,3.27,13.36%,16.51%,00:08:11,7.18
جيب رنجلر,494,2.70,10.93%,28.86%,00:05:06,4.97
كورولا 2007,494,3.61,13.16%,21.95%,00:04:44,4.70
كيا سيراتو 2011,494,4.12,14.17%,18.47%,00:06:24,5.21
مرسيدس s350,494,4.62,13.56%,14.71%,00:06:02,6.08
مصفحة,494,4.29,12.75%,12.61%,00:08:19,7.98
افانتي اتوماتيك,493,7.83,18.26%,9.38%,00:10:38,8.23
بكانتو,493,2.89,10.75%,28.77%,00:05:02,4.51
تشاركية اتصالات,493,4.12,18.05%,14.17%,00:10:13,8.30
س3,493,2.53,10.95%,32.58%,00:04:15,4.06
قولف بولو,493,4.30,11.97%,17.83%,00:07:28,5.94
مسجلات,493,4.86,18.05%,14.49%,00:05:54,5.90
هوانداي,493,3.50,12.78%,24.36%,00:06:33,7.31
هونداي جيتس,493,3.52,12.58%,24.03%,00:05:29,6.01
هونداي كوبي,493,4.84,13.59%,14.75%,00:07:56,7.01
هيونداي سوناتا,493,7.37,17.24%,8.45%,00:10:06,7.56
ام اذينة,492,6.20,17.68%,11.05%,00:08:56,8.38
موطو اربع عجل,492,3.90,13.41%,18.68%,00:07:50,6.98
نيسان صنى,492,5.71,18.09%,10.61%,00:08:41,7.70
بلايزر,491,2.81,11.41%,26.61%,00:06:06,5.59
تريله,491,3.90,12.22%,19.61%,00:06:34,5.68
توران,491,2.93,10.59%,23.25%,00:06:59,6.94
تويوتا ايكو,491,2.65,10.39%,29.36%,00:05:29,5.72
سيجارة الكترونية,491,2.56,22.40%,13.71%,00:06:40,5.71
شفروليه اوبترا,491,4.69,16.09%,16.32%,00:06:26,5.67
فراشة,491,4.10,14.66%,18.24%,00:05:29,4.40
كزيونى,491,7.35,20.77%,8.65%,00:11:58,7.99
كس,491,1.52,16.09%,49.73%,00:01:53,2.49
نيسان صني 2011,491,4.69,14.87%,15.50%,00:09:07,8.91
325i,490,2.21,8.16%,39.54%,00:03:13,2.71
فيلات,490,9.62,26.94%,5.07%,00:15:13,10.47
قرطبه,490,3.36,16.33%,19.57%,00:05:10,5.05
كيا سبورتاج 2013,490,3.72,11.84%,18.60%,00:06:29,5.09
متسوبيشي لانسر 2010,490,5.29,16.53%,13.22%,00:07:20,7.04
190e,489,2.42,9.82%,32.74%,00:04:55,4.93
beats,489,3.00,14.72%,20.40%,00:05:16,4.47
fsi,489,2.87,5.73%,27.85%,00:06:40,5.68
sl,489,2.07,5.93%,42.87%,00:03:21,3.02
ازيرة,489,3.69,17.59%,19.22%,00:07:15,6.81
اونو,489,2.28,10.22%,36.30%,00:04:11,3.92
سكسي,489,1.61,32.31%,23.89%,00:03:39,1.59
عدة مطعم,489,5.85,14.52%,9.99%,00:10:19,10.28
كيا بكانتو,489,3.69,10.22%,20.00%,00:06:36,6.31
كيا لوتسي,489,4.79,15.95%,13.78%,00:07:51,8.38
7 راكب,488,8.30,28.89%,6.40%,00:10:20,7.92
bwm,488,2.35,10.04%,37.12%,00:04:23,5.38
انجليزي,488,5.78,22.95%,7.62%,00:12:49,8.87
تويوتا كورولا 2005,488,3.79,9.22%,22.13%,00:05:49,4.72
جامعات,488,2.90,51.23%,5.23%,00:04:23,2.89
فيرا كروز,488,2.97,11.27%,20.69%,00:07:17,6.33
e200 2003,487,4.07,12.11%,19.21%,00:06:42,6.05
note2,487,3.05,16.63%,22.93%,00:04:38,4.73
تغذيه,487,3.00,46.82%,9.43%,00:03:44,4.01
جنون,487,3.88,11.50%,18.99%,00:07:47,6.60
مبادلة,487,5.09,13.14%,12.05%,00:10:37,7.71
متسوبيشي 99,487,6.25,18.07%,11.72%,00:09:13,7.40
مطبعة,487,4.05,13.55%,13.88%,00:07:00,7.29
مكة,487,6.98,24.44%,5.41%,00:09:28,9.25
هونداي اكسنت 2010,487,4.06,12.94%,18.53%,00:05:10,4.87
4runner,486,2.04,8.85%,35.15%,00:06:35,3.84
اسكونا,486,3.50,11.93%,21.20%,00:05:19,4.81
بوطي,486,2.56,11.52%,30.52%,00:05:40,4.70
شاشات led,486,6.93,25.10%,6.68%,00:07:48,8.79
ك,486,1.73,9.05%,50.48%,00:02:47,2.41
مازدا ركاب,486,3.09,9.67%,24.87%,00:07:35,6.66
مصور,486,2.70,13.99%,23.00%,00:05:29,6.42
h2,485,1.90,16.08%,35.36%,00:04:24,4.42
درجات ناريه,485,2.94,16.70%,24.86%,00:05:45,5.89
وظائف شاغره,485,8.16,26.80%,4.65%,00:09:31,10.08
getz,484,2.19,7.64%,33.90%,00:04:51,5.26
omega,484,3.34,12.19%,22.85%,00:05:30,4.48
تويوتا كامري 2012,484,4.04,13.84%,16.30%,00:07:05,5.94
فيات اونو,484,2.80,11.16%,27.23%,00:05:21,5.01
للمبادلة,484,8.13,22.31%,6.33%,00:14:00,11.32
محل تجاري,484,7.30,21.90%,7.78%,00:10:11,7.91
honda crv,483,6.33,19.25%,8.71%,00:09:58,6.81
الدمينه,483,2.39,9.11%,37.44%,00:03:52,2.93
بلاي ستيشن 4,483,2.69,24.84%,19.04%,00:05:23,4.81
توسان 2014,483,2.88,13.46%,21.18%,00:05:02,4.70
كورولا 2010,483,3.66,12.84%,20.88%,00:05:31,4.65
ليلى علوي,483,3.57,13.87%,19.62%,00:08:32,5.25
مرسيدس E,483,3.97,20.08%,16.47%,00:07:51,6.02
افانتي 1996,482,6.37,15.77%,10.33%,00:06:49,7.13
تابليت,482,4.20,19.71%,14.76%,00:07:08,5.96
حادث,482,2.78,9.75%,32.31%,00:05:16,4.60
سوق السبت,482,3.92,16.60%,15.60%,00:08:46,7.21
سي 200,482,3.97,11.00%,19.98%,00:07:15,4.50
